total_games_played,cumulative_points
1065,9583.467917949303
1066,9592.586225900477
1067,9601.704533851651
1068,9610.822841802825
1069,9619.941149753999
1070,9629.059457705172
1071,9638.177765656346
1072,9647.29607360752
1073,9656.414381558694
1074,9665.532689509868
1075,9674.650997461042
1076,9683.769305412214
1077,9692.887613363388
1078,9702.005921314561
1079,9711.124229265735
1080,9720.24253721691
1081,9729.360845168083
1082,9738.479153119257
1083,9747.59746107043
1084,9756.715769021605
1085,9765.834076972778
1086,9774.952384923952
1087,9784.070692875126
1088,9793.1890008263
1089,9802.307308777474
1090,9811.425616728646
1091,9820.54392467982
1092,9829.662232630993
1093,9838.780540582167
1094,9847.898848533341
1095,9857.017156484515
1096,9866.135464435689
1097,9875.253772386863
1098,9884.372080338037
1099,9893.49038828921
1100,9902.608696240384
1101,9911.727004191558
1102,9920.845312142732
1103,9929.963620093906
1104,9939.08192804508
1105,9948.200235996252
1106,9957.318543947425
1107,9966.4368518986
1108,9975.555159849773
1109,9984.673467800947
1110,9993.79177575212
1111,10002.910083703295
1112,10012.028391654469
1113,10021.146699605642
1114,10030.265007556816
1115,10039.38331550799
1116,10048.501623459164
1117,10057.619931410338
1118,10066.738239361512
1119,10075.856547312686
1120,10084.974855263858
1121,10094.093163215031
1122,10103.211471166205
1123,10112.329779117379
1124,10121.448087068553
1125,10130.566395019727
1126,10139.6847029709
1127,10148.803010922074
1128,10157.921318873248
1129,10167.039626824422
1130,10176.157934775596
1131,10185.27624272677
1132,10194.394550677944
1133,10203.512858629118
1134,10212.63116658029
1135,10221.749474531463
1136,10230.867782482637
1137,10239.986090433811
1138,10249.104398384985
1139,10258.222706336159
1140,10267.341014287333
1141,10276.459322238507
1142,10285.57763018968
1143,10294.695938140854
1144,10303.814246092028
1145,10312.932554043202
1146,10322.050861994376
1147,10331.16916994555
1148,10340.287477896723
1149,10349.405785847895
1150,10358.52409379907
1151,10367.642401750243
1152,10376.760709701417
1153,10385.87901765259
1154,10394.997325603765
1155,10404.115633554939
1156,10413.233941506112
1157,10422.352249457286
1158,10431.47055740846
1159,10440.588865359634
1160,10449.707173310808
1161,10458.825481261982
1162,10467.943789213155
1163,10477.062097164327
1164,10486.180405115501
1165,10495.298713066675
1166,10504.417021017849
1167,10513.535328969023
1168,10522.653636920197
1169,10531.77194487137
1170,10540.890252822544
1171,10550.008560773718
1172,10559.126868724892
1173,10568.245176676066
1174,10577.36348462724
1175,10586.481792578414
1176,10595.600100529588
1177,10604.718408480761
1178,10613.836716431933
1179,10622.955024383107
1180,10632.073332334281
1181,10641.191640285455
1182,10650.309948236629
1183,10659.428256187803
1184,10668.546564138976
1185,10677.66487209015
1186,10686.783180041324
1187,10695.901487992498
1188,10705.019795943672
1189,10714.138103894846
1190,10723.25641184602
1191,10732.374719797193
1192,10741.493027748367
1193,10750.61133569954
1194,10759.729643650713
1195,10768.847951601887
1196,10777.96625955306
1197,10787.084567504235
1198,10796.202875455409
1199,10805.321183406582
1200,10814.439491357756
1201,10823.55779930893
1202,10832.676107260104
1203,10841.794415211278
1204,10850.912723162452
1205,10860.031031113625
1206,10869.1493390648
1207,10878.267647015971
1208,10887.385954967145
1209,10896.504262918319
1210,10905.622570869493
1211,10914.740878820667
1212,10923.85918677184
1213,10932.977494723014
1214,10942.095802674188
1215,10951.214110625362
1216,10960.332418576536
1217,10969.45072652771
1218,10978.569034478884
1219,10987.687342430057
1220,10996.805650381231
1221,11005.923958332405
1222,11015.042266283577
1223,11024.160574234751
1224,11033.278882185925
1225,11042.397190137099
1226,11051.515498088273
1227,11060.633806039446
1228,11069.75211399062
1229,11078.870421941794
1230,11087.988729892968
1231,11097.107037844142
1232,11106.225345795316
1233,11115.34365374649
1234,11124.461961697663
1235,11133.580269648837
1236,11142.698577600011
1237,11151.816885551183
1238,11160.935193502357
1239,11170.05350145353
1240,11179.171809404705
1241,11188.290117355878
1242,11197.408425307052
1243,11206.526733258226
1244,11215.6450412094
1245,11224.763349160574
1246,11233.881657111748
1247,11242.999965062922
1248,11252.118273014095
1249,11261.23658096527
1250,11270.354888916443
1251,11279.473196867615
1252,11288.591504818789
1253,11297.709812769963
1254,11306.828120721137
1255,11315.94642867231
1256,11325.064736623484
1257,11334.183044574658
1258,11343.301352525832
1259,11352.419660477006
1260,11361.53796842818
1261,11370.656276379354
1262,11379.774584330527
1263,11388.892892281701
1264,11398.011200232875
1265,11407.129508184049
1266,11416.247816135221
1267,11425.366124086395
1268,11434.484432037569
1269,11443.602739988743
1270,11452.721047939916
1271,11461.83935589109
1272,11470.957663842264
1273,11480.075971793438
1274,11489.194279744612
1275,11498.312587695786
1276,11507.43089564696
1277,11516.549203598133
1278,11525.667511549307
1279,11534.785819500481
1280,11543.904127451653
1281,11553.022435402827
1282,11562.140743354
1283,11571.259051305175
1284,11580.377359256348
1285,11589.495667207522
1286,11598.613975158696
1287,11607.73228310987
1288,11616.850591061044
1289,11625.968899012218
1290,11635.087206963392
1291,11644.205514914565
1292,11653.32382286574
1293,11662.442130816913
1294,11671.560438768087
1295,11680.678746719259
1296,11689.797054670433
1297,11698.915362621607
1298,11708.03367057278
1299,11717.151978523954
1300,11726.270286475128
1301,11735.388594426302
1302,11744.506902377476
1303,11753.62521032865
1304,11762.743518279824
1305,11771.861826230997
1306,11780.980134182171
1307,11790.098442133345
1308,11799.216750084519
1309,11808.335058035693
1310,11817.453365986865
1311,11826.571673938039
1312,11835.689981889213
1313,11844.808289840386
1314,11853.92659779156
1315,11863.044905742734
1316,11872.163213693908
1317,11881.281521645082
1318,11890.399829596256
1319,11899.51813754743
1320,11908.636445498603
1321,11917.754753449777
1322,11926.873061400951
1323,11935.991369352125
1324,11945.109677303297
1325,11954.22798525447
1326,11963.346293205645
1327,11972.464601156818
1328,11981.582909107992
1329,11990.701217059166
1330,11999.81952501034
1331,12008.937832961514
1332,12018.056140912688
1333,12027.174448863861
1334,12036.292756815035
1335,12045.41106476621
1336,12054.529372717383
1337,12063.647680668557
1338,12072.76598861973
1339,12081.884296570903
1340,12091.002604522077
1341,12100.12091247325
1342,12109.239220424424
1343,12118.357528375598
1344,12127.475836326772
1345,12136.594144277946
1346,12145.71245222912
1347,12154.830760180294
1348,12163.949068131467
1349,12173.067376082641
1350,12182.185684033815
1351,12191.303991984989
1352,12200.422299936163
1353,12209.540607887337
1354,12218.658915838509
1355,12227.777223789682
1356,12236.895531740856
1357,12246.01383969203
1358,12255.132147643204
1359,12264.250455594378
1360,12273.368763545552
1361,12282.487071496726
1362,12291.6053794479
1363,12300.723687399073
1364,12309.841995350247
1365,12318.960303301421
1366,12328.078611252595
1367,12337.196919203769
1368,12346.31522715494
1369,12355.433535106115
1370,12364.551843057288
1371,12373.670151008462
1372,12382.788458959636
1373,12391.90676691081
1374,12401.025074861984
1375,12410.143382813158
1376,12419.261690764331
1377,12428.379998715505
1378,12437.49830666668
1379,12446.616614617853
1380,12455.734922569027
1381,12464.8532305202
1382,12473.971538471375
1383,12483.089846422547
1384,12492.20815437372
1385,12501.326462324894
1386,12510.444770276068
1387,12519.563078227242
1388,12528.681386178416
1389,12537.79969412959
1390,12546.918002080763
1391,12556.036310031937
1392,12565.154617983111
1393,12574.272925934285
1394,12583.391233885459
1395,12592.509541836633
1396,12601.627849787807
1397,12610.74615773898
1398,12619.864465690152
1399,12628.982773641326
1400,12638.1010815925
1401,12647.219389543674
1402,12656.337697494848
1403,12665.456005446022
1404,12674.574313397196
1405,12683.69262134837
1406,12692.810929299543
1407,12701.929237250717
1408,12711.04754520189
1409,12720.165853153065
1410,12729.284161104239
1411,12738.402469055412
1412,12747.520777006584
1413,12756.639084957758
1414,12765.757392908932
1415,12774.875700860106
1416,12783.99400881128
1417,12793.112316762454
1418,12802.230624713628
1419,12811.348932664801
1420,12820.467240615975
1421,12829.585548567149
1422,12838.703856518323
1423,12847.822164469497
1424,12856.94047242067
1425,12866.058780371844
1426,12875.177088323018
1427,12884.29539627419
1428,12893.413704225364
1429,12902.532012176538
1430,12911.650320127712
1431,12920.768628078886
1432,12929.88693603006
1433,12939.005243981233
1434,12948.123551932407
1435,12957.241859883581
1436,12966.360167834755
1437,12975.478475785929
1438,12984.596783737103
1439,12993.715091688277
1440,13002.83339963945
1441,13011.951707590622
1442,13021.070015541796
1443,13030.18832349297
1444,13039.306631444144
1445,13048.424939395318
1446,13057.543247346492
1447,13066.661555297665
1448,13075.77986324884
1449,13084.898171200013
1450,13094.016479151187
1451,13103.13478710236
1452,13112.253095053535
1453,13121.371403004709
1454,13130.489710955882
1455,13139.608018907056
1456,13148.726326858228
1457,13157.844634809402
1458,13166.962942760576
1459,13176.08125071175
1460,13185.199558662924
1461,13194.317866614098
1462,13203.436174565271
1463,13212.554482516445
1464,13221.672790467619
1465,13230.791098418793
1466,13239.909406369967
1467,13249.02771432114
1468,13258.146022272314
1469,13267.264330223488
1470,13276.382638174662
1471,13285.500946125834
1472,13294.619254077008
1473,13303.737562028182
1474,13312.855869979356
1475,13321.97417793053
1476,13331.092485881703
1477,13340.210793832877
1478,13349.329101784051
1479,13358.447409735225
1480,13367.565717686399
1481,13376.684025637573
1482,13385.802333588746
1483,13394.92064153992
1484,13404.038949491094
1485,13413.157257442266
1486,13422.27556539344
1487,13431.393873344614
1488,13440.512181295788
1489,13449.630489246962
1490,13458.748797198135
1491,13467.86710514931
1492,13476.985413100483
1493,13486.103721051657
1494,13495.22202900283
1495,13504.340336954005
1496,13513.458644905179
1497,13522.576952856352
1498,13531.695260807526
1499,13540.8135687587
1500,13549.931876709872
1501,13559.050184661046
1502,13568.16849261222
1503,13577.286800563394
1504,13586.405108514567
1505,13595.523416465741
1506,13604.641724416915
1507,13613.760032368089
1508,13622.878340319263
1509,13631.996648270437
1510,13641.11495622161
1511,13650.233264172784
1512,13659.351572123958
1513,13668.469880075132
1514,13677.588188026306
1515,13686.706495977478
1516,13695.824803928652
1517,13704.943111879826
1518,13714.061419831
1519,13723.179727782173
1520,13732.298035733347
1521,13741.416343684521
1522,13750.534651635695
1523,13759.652959586869
1524,13768.771267538043
1525,13777.889575489216
1526,13787.00788344039
1527,13796.126191391564
1528,13805.244499342738
1529,13814.36280729391
1530,13823.481115245084
