year,game_number,date,points
2018,1,2017-10-19,10
2018,2,2017-10-21,15
2018,3,2017-10-24,19
2018,4,2017-10-26,13
2018,5,2017-10-28,9
2018,6,2017-10-30,14
2018,7,2017-11-01,8
2018,8,2017-11-04,23
2018,9,2017-11-05,8
2018,10,2017-11-07,6
2018,11,2017-11-20,9
2019,1,2018-10-17,0
2019,2,2018-10-19,7
2019,3,2018-10-21,4
2019,4,2018-10-23,12
2019,5,2018-10-26,3
2019,6,2018-10-28,11
2019,7,2018-10-30,4
2019,8,2018-11-01,4
2019,9,2018-11-02,6
2019,10,2018-11-05,10
2019,11,2018-11-08,4
2019,12,2018-11-10,21
2019,13,2018-11-12,4
2019,14,2018-11-15,10
2019,15,2018-11-17,6
2019,16,2018-11-19,4
2019,17,2018-11-20,6
2019,18,2018-11-23,9
2019,19,2018-11-25,7
2019,20,2018-11-28,2
2019,21,2018-11-29,6
2019,22,2018-12-02,3
2019,23,2018-12-03,8
2019,24,2018-12-05,4
2019,25,2018-12-08,9
2019,26,2018-12-10,6
2019,27,2018-12-11,2
2019,28,2018-12-13,6
2019,29,2018-12-15,9
2019,30,2018-12-17,10
2019,31,2018-12-20,8
2019,32,2018-12-22,12
2019,33,2018-12-23,10
2019,34,2018-12-26,5
2019,35,2018-12-28,8
2019,36,2018-12-29,8
2019,37,2019-01-01,5
2019,38,2019-01-04,16
2019,39,2019-01-06,3
2019,40,2019-01-08,6
2019,41,2019-01-10,2
2019,42,2019-01-12,3
2019,43,2019-01-14,3
2019,44,2019-01-16,0
2019,45,2019-01-18,4
2019,46,2019-01-20,18
2019,47,2019-01-22,16
2019,48,2019-01-23,4
2019,49,2019-01-25,2
2019,50,2019-01-27,16
2019,51,2019-01-28,10
2019,52,2019-01-31,17
2019,53,2019-02-02,4
2019,54,2019-02-03,12
2019,55,2019-02-05,15
2019,56,2019-02-07,9
2019,57,2019-02-09,12
2019,58,2019-02-11,2
2019,59,2019-02-13,2
2019,60,2019-02-22,7
2019,61,2019-02-24,2
2019,62,2019-02-25,17
2019,63,2019-02-27,12
2019,64,2019-03-01,12
2019,65,2019-03-03,3
2019,66,2019-03-04,13
2019,67,2019-03-08,0
2019,68,2019-03-11,11
2019,69,2019-03-12,4
2019,70,2019-03-15,13
2019,71,2019-03-17,10
2019,72,2019-03-19,10
2019,73,2019-03-22,9
2019,74,2019-03-24,12
2019,75,2019-03-26,11
2019,76,2019-03-30,4
2019,77,2019-03-31,3
2019,78,2019-04-10,14
2020,1,2019-10-22,2
2020,2,2019-10-24,5
2020,3,2019-10-26,11
2020,4,2019-10-28,5
2020,5,2019-10-30,8
2020,6,2019-10-31,8
2020,7,2019-11-03,4
2020,8,2019-11-06,20
