year,game_number,date,points
2013,40,2013-01-18,52
2013,41,2013-01-20,37
2013,42,2013-01-22,32
2013,43,2013-01-23,33
2013,44,2013-01-25,24
2013,45,2013-01-27,35
2013,46,2013-01-31,27
2013,47,2013-02-02,32
2013,48,2013-02-04,19
2013,49,2013-02-06,25
2013,50,2013-02-08,21
2013,51,2013-02-10,18
2013,52,2013-02-12,33
2013,53,2013-02-14,40
2013,54,2013-02-20,16
2013,55,2013-02-22,27
2013,56,2013-02-24,19
2013,57,2013-02-27,18
2013,58,2013-03-01,25
2013,59,2013-03-03,35
2013,60,2013-03-05,26
2013,61,2013-03-07,34
2013,62,2013-03-08,19
2013,63,2013-03-10,23
2013,64,2013-03-11,26
2013,65,2013-03-13,23
2013,66,2013-03-15,26
2013,67,2013-03-17,31
2013,68,2013-03-19,34
2013,69,2013-03-20,32
2013,70,2013-03-22,25
2013,71,2013-03-24,24
2013,72,2013-03-27,20
2013,73,2013-03-29,36
2013,74,2013-03-30,30
2013,75,2013-04-04,25
2013,76,2013-04-05,34
2013,77,2013-04-07,27
2013,78,2013-04-09,21
2013,79,2013-04-11,31
2013,80,2013-04-12,16
2013,81,2013-04-15,29
2014,1,2013-10-30,42
2014,2,2013-11-01,13
2014,3,2013-11-03,33
2014,4,2013-11-06,23
2014,5,2013-11-08,37
2014,6,2013-11-10,33
2014,7,2013-11-13,33
2014,8,2013-11-14,20
2014,9,2013-11-16,24
2014,10,2013-11-18,38
2014,11,2013-11-21,28
2014,12,2013-11-24,19
2014,13,2013-11-27,24
2014,14,2013-11-29,25
2014,15,2013-12-01,32
2014,16,2013-12-03,27
2014,17,2013-12-04,33
2014,18,2013-12-06,29
2014,19,2013-12-08,36
2014,20,2013-12-10,30
2014,21,2013-12-11,18
2014,22,2013-12-13,31
2014,23,2013-12-15,28
2014,24,2013-12-17,30
2014,25,2013-12-19,32
2014,26,2013-12-21,17
2014,27,2013-12-22,24
2014,28,2013-12-25,29
2014,29,2013-12-27,34
2014,30,2013-12-29,33
2014,31,2013-12-31,37
2014,32,2014-01-02,24
2014,33,2014-01-04,48
2014,34,2014-01-05,21
2014,35,2014-01-07,48
2014,36,2014-01-09,30
2014,37,2014-01-11,33
2014,38,2014-01-14,37
2014,39,2014-01-16,36
2014,40,2014-01-17,54
2014,41,2014-01-19,30
2014,42,2014-01-21,46
2014,43,2014-01-22,36
2014,44,2014-01-25,32
2014,45,2014-01-27,41
2014,46,2014-01-29,33
2014,47,2014-01-31,26
